neighborhood_manhattan,neighborhood_brooklyn,neighborhood_bronx,neighborhood_queens,neighborhood_staten_island,room_type_private,room_type_entire,room_type_shared,number_of_reviews,reviews_per_month,calculated_host_listings_count
1,0,0,0,0,0,1,0,10,0.25,12
0,1,0,0,0,1,0,0,1,0.03,1
0,0,0,1,0,0,1,0,4,0.17,1
0,1,0,0,0,0,1,0,3,0.33,1
1,0,0,0,0,1,0,0,0,0.0,1
1,0,0,0,0,0,1,0,4,0.22,1
0,1,0,0,0,0,1,0,0,0.0,1
0,1,0,0,0,1,0,0,144,5.65,2
1,0,0,0,0,0,1,0,0,0.0,96
1,0,0,0,0,0,1,0,44,3.0,1
1,0,0,0,0,0,1,0,0,0.0,1
0,1,0,0,0,0,1,0,20,0.59,1
1,0,0,0,0,0,1,0,2,2.0,1
0,0,0,1,0,0,1,0,11,4.52,1
0,1,0,0,0,1,0,0,84,1.25,5
1,0,0,0,0,1,0,0,24,2.32,1
1,0,0,0,0,1,0,0,1,0.03,1
0,1,0,0,0,1,0,0,6,2.47,6
1,0,0,0,0,1,0,0,0,0.0,1
1,0,0,0,0,0,1,0,6,0.1,10
0,1,0,0,0,1,0,0,5,0.49,3
0,1,0,0,0,1,0,0,1,0.08,1
0,0,0,1,0,0,1,0,4,0.26,1
0,1,0,0,0,0,1,0,0,0.0,1
0,0,0,1,0,1,0,0,50,5.58,3
0,1,0,0,0,1,0,0,5,1.06,1
0,1,0,0,0,1,0,0,26,2.8,8
0,0,0,1,0,1,0,0,0,0.0,1
1,0,0,0,0,0,1,0,12,0.42,1
1,0,0,0,0,0,1,0,0,0.0,232
0,1,0,0,0,0,1,0,74,5.35,2
0,1,0,0,0,0,1,0,9,0.2,1
1,0,0,0,0,0,1,0,55,1.41,1
0,1,0,0,0,0,1,0,1,0.15,1
1,0,0,0,0,0,1,0,15,9.78,1
1,0,0,0,0,0,1,0,2,0.29,96
1,0,0,0,0,0,1,0,4,4.0,1
1,0,0,0,0,1,0,0,1,0.36,1
1,0,0,0,0,0,1,0,0,0.0,232
1,0,0,0,0,0,1,0,1,1.0,1
0,1,0,0,0,0,1,0,5,0.13,2
0,0,0,1,0,0,1,0,2,0.09,1
1,0,0,0,0,1,0,0,0,0.0,32
0,1,0,0,0,0,1,0,2,1.15,1
1,0,0,0,0,1,0,0,13,1.42,1
1,0,0,0,0,1,0,0,5,0.26,1
0,1,0,0,0,0,1,0,129,2.03,1
0,0,0,1,0,0,1,0,2,2.0,1
0,1,0,0,0,1,0,0,3,0.69,1
0,1,0,0,0,0,1,0,1,0.68,2
0,1,0,0,0,1,0,0,3,0.49,1
1,0,0,0,0,1,0,0,0,0.0,1
1,0,0,0,0,0,1,0,62,3.19,2
1,0,0,0,0,1,0,0,64,2.55,1
0,1,0,0,0,0,1,0,3,2.37,1
0,1,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,1,0,0,0,0.0,1
0,0,0,1,0,1,0,0,104,3.29,1
0,1,0,0,0,0,1,0,105,2.28,1
1,0,0,0,0,1,0,0,56,0.94,5
1,0,0,0,0,1,0,0,1,0.03,2
1,0,0,0,0,0,1,0,6,0.94,1
1,0,0,0,0,0,1,0,0,0.0,18
0,1,0,0,0,0,1,0,18,3.94,3
0,1,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,0,1,0,9,3.65,1
0,1,0,0,0,0,1,0,174,4.84,1
1,0,0,0,0,1,0,0,15,1.07,1
0,0,0,1,0,0,1,0,25,3.55,1
0,1,0,0,0,1,0,0,0,0.0,1
0,0,0,1,0,0,1,0,3,0.06,1
0,1,0,0,0,0,1,0,17,0.25,1
1,0,0,0,0,0,0,1,38,6.48,4
1,0,0,0,0,0,1,0,1,0.12,121
0,0,0,1,0,1,0,0,2,2.0,2
0,1,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,0,1,0,18,0.28,1
1,0,0,0,0,1,0,0,1,0.05,1
0,1,0,0,0,0,1,0,2,0.82,1
1,0,0,0,0,0,1,0,2,0.77,9
1,0,0,0,0,0,1,0,0,0.0,1
0,0,0,1,0,0,1,0,19,1.18,1
0,0,0,1,0,0,1,0,38,4.01,1
